total_tested,total_confirmed,total_infected
"2,167",17,"493,671"
"2,211",14,"493,654"
"2,211",14,"493,654"
"1,925",13,"493,640"
"1,783",11,"493,627"
"1,968","493,498",
"2,248",12,"493,490"
"2,381",17,"493,478"
"2,273",27,"493,305"
"2,376","493,278",
"2,273",27,"493,305"
"2,376","493,278",
"1,925",35,"493,272"
909,"493,237",
"2,082",10,"493,234"
"2,382",27,"493,224"
"1,829",42,"493,010"
"1,179","492,968",
"1,834",25,"492,960"
"2,255",41,"492,935"
"1,829",42,"493,010"
"1,179","492,968",
"1,834",25,"492,960"
"2,255",41,"492,935"
"2,038",20,"492,894"
"1,855",26,"492,874"
"2,220",49,"492,461"
"2,208",37,"492,412"
"2,583",59,"492,375"
"2,970",134,"491,642"
"2,915",99,"491,508"
"3,144",124,"491,409"
"3,119",113,"491,285"
"2,970",134,"491,642"
"2,915",99,"491,508"
"3,144",124,"491,409"
"3,119",113,"491,285"
"2,284",86,"491,172"
"1,944",55,"491,086"
"2,652",106,"491,031"
"2,739",109,"490,925"
"3,078",154,"489,656"
"2,478",161,"489,502"
"1,754",86,"489,341"
"2,910",399,"484,138"
"6,055",851,"483,739"
"5,687",856,"482,888"
"2,910",399,"484,138"
"6,055",851,"483,739"
"5,687",856,"482,888"
"4,780",807,"482,032"
"4,062",443,"475,764"
"4,062",443,"475,764"
"3,356",309,"475,321"
"3,135",297,"475,012"
"6,716",736,"474,715"
"5,545",151,"471,678"
"5,289",104,"471,527"
"3,832",50,"471,423"
"2,352",30,"471,373"
"5,289",104,"471,527"
"3,832",50,"471,423"
"2,352",30,"471,373"
"5,444",116,"471,343"
"4,597",82,"471,227"
"4,551",56,"471,145"
"4,118",49,"471,089"
"4,954",49,"471,040"
"1,730",10,"470,740"
"3,412",26,"470,730"
"3,153",18,"470,704"
"1,730",10,"470,740"
"3,412",26,"470,730"
"3,153",18,"470,704"
"3,579",39,"470,686"
"4,050",38,"470,647"
"2,943",22,"470,609"
"4,640",37,"470,389"
"5,896",47,"470,352"
"6,732",17,"470,305"
"2,519",15,"470,288"
"5,459",26,"469,784"
882,2014,
"5,185",54,"469,758"
"5,353",25,"469,704"
"5,869",23,"469,679"
882,2014,
"5,185",54,"469,758"
"5,353",25,"469,704"
"5,869",23,"469,679"
"4,732",35,"469,656"
"4,335",10,"469,621"
"4,368","469,611",
"6,259",60,"469,604"
"6,349",64,"469,393"
"4,790",38,"469,329"
"6,349",64,"469,393"
"4,790",38,"469,329"
"5,961",69,"469,291"
"5,959",45,"468,895"
"4,644",64,"468,850"
"3,978",16,"468,786"
